,0
holiday,0.0009180341123796721
workingday,0.06794028875607692
atemp,0.12683597474002728
hum,0.023248488171376445
windspeed,0.0037853154969256157
daylight_hrs,0.004831090033336432
season_1,0.013754892618224253
season_2,0.0002874238041641937
season_3,0.00020162684469092305
season_4,0.010929800584736653
weathersit_1,0.001838427105427404
weathersit_2,0.00036472915678083256
weathersit_3,0.017784237043899902
weathersit_4,0.0
weekday_0,0.00033786355543133546
weekday_1,0.0002548800117165429
weekday_2,0.00016288740925014502
weekday_3,0.00040551803690865815
weekday_4,0.005330415030142234
weekday_5,0.002322766611400548
weekday_6,0.003025077603315479
mnth_1,0.00011186848207302516
mnth_2,5.091178197077056e-05
mnth_3,0.0001096318237996813
mnth_4,0.000494216984222184
mnth_5,0.00011173924182375191
mnth_6,0.00019033263049124136
mnth_7,0.00022293916075307233
mnth_8,8.471560175108997e-05
mnth_9,7.668197600345616e-05
mnth_10,0.00010648195248996011
mnth_11,0.00034851034962271154
mnth_12,0.001166202860746903
hr_0,0.0016678259286394897
hr_1,0.0010532615325676796
hr_2,0.0007288272618364141
hr_3,0.00011698433188111373
hr_4,2.691257019521682e-07
hr_5,0.00017961161388442987
hr_6,0.0039614317992648735
hr_7,0.005214622303183775
hr_8,0.018767576605097775
hr_9,0.0066404687759746145
hr_10,0.0051844210325729095
hr_11,0.0012570787097209541
hr_12,4.075004776883347e-05
hr_13,0.0
hr_14,0.0001901387943566609
hr_15,0.0
hr_16,0.006453179456700138
hr_17,0.005732938329362144
hr_18,0.00317187623994725
hr_19,0.00602161834523841
hr_20,0.006939526447462324
hr_21,0.0010502693279688833
hr_22,0.0018671943538447536
hr_23,0.004593783630038681
yr_2011,0.03498161626727506
yr_2012,0.03446460374348323
daylight,0.3630801904206351
night_hr,0.14090323576047034
peak_hr,0.05810273024316284
